,sigma,optimizer,seed,r
0,10.0,nelder-mead,1,1.0
1,0.1,powell,1,1.0
2,0.1,powell,2,1.0
3,1.0,powell,1,1.0
4,1.0,powell,2,1.0
5,10.0,powell,1,1.0
6,10.0,powell,2,1.0
7,100.0,powell,1,1.0
8,100.0,powell,2,1.0
9,0.1,rmsprop,1,1.0
10,0.1,rmsprop,2,1.0
11,1.0,rmsprop,1,1.0
12,1.0,rmsprop,2,1.0
13,10.0,rmsprop,1,1.0
14,10.0,rmsprop,2,1.0
15,100.0,rmsprop,1,0.8247941321199841
16,100.0,rmsprop,2,0.8316455660916964
17,1.0,rmsprop,26,1.0
18,1.0,rmsprop,26,0.6858880385971557
19,0.1,rmsprop,1,0.7118909316787239
20,0.1,newton-cg,1,0.7118909316787239
21,0.1,cobyla,1,1.0
22,0.1,nelder-mead,1,0.7118909316787239
23,0.1,rmsprop,2,1.0
24,0.1,newton-cg,2,0.8464236491091397
25,0.1,cobyla,2,1.0
26,0.1,nelder-mead,2,1.0
27,0.1,rmsprop,3,0.7125491870137244
28,0.1,newton-cg,3,0.7149386265891065
29,0.1,cobyla,3,1.0
30,0.1,nelder-mead,3,0.7149386265891065
31,0.1,rmsprop,4,0.5641341547869582
32,0.1,newton-cg,4,0.5728186999900374
33,0.1,cobyla,4,1.0
34,0.1,nelder-mead,4,0.5641341547869582
35,0.1,rmsprop,5,0.8562262300256311
36,0.1,newton-cg,5,1.0
37,0.1,cobyla,5,1.0
38,0.1,nelder-mead,5,0.712300920121094
39,0.1,rmsprop,6,1.0
40,0.1,newton-cg,6,0.7199770319113018
41,0.1,cobyla,6,1.0
42,0.1,nelder-mead,6,1.0
43,0.1,rmsprop,7,0.5688794305882542
44,0.1,newton-cg,7,0.574895912030854
45,0.1,cobyla,7,0.574895912030854
46,0.1,nelder-mead,7,0.5688951357216099
47,0.1,rmsprop,8,0.7190671313031999
48,0.1,newton-cg,8,1.0
49,0.1,cobyla,8,0.7190671313031999
50,0.1,nelder-mead,8,0.7190671313031999
51,0.1,rmsprop,9,0.14538223654729512
52,0.1,newton-cg,9,0.14538223654729512
53,0.1,cobyla,9,0.43456739174731507
54,0.1,nelder-mead,9,0.14538223654729512
55,0.1,rmsprop,10,0.6655619375864442
56,0.1,newton-cg,10,0.6655619375864442
57,0.1,cobyla,10,1.0
58,0.1,nelder-mead,10,0.6655619375864442
59,0.1,rmsprop,11,0.7131813153518304
60,0.1,newton-cg,11,0.7131813153518304
61,0.1,cobyla,11,1.0
62,0.1,nelder-mead,11,0.7131813153518304
63,0.1,rmsprop,12,0.7026322267373317
64,0.1,newton-cg,12,0.7076488956152056
65,0.1,cobyla,12,1.0
66,0.1,nelder-mead,12,0.7026322267373317
67,0.1,rmsprop,13,0.5778393371473637
68,0.1,newton-cg,13,1.0
69,0.1,cobyla,13,1.0
70,0.1,nelder-mead,13,0.5778393371473637
71,0.1,rmsprop,14,0.8336381900261869
72,0.1,newton-cg,14,0.5014328024722136
73,0.1,cobyla,14,1.0
74,0.1,nelder-mead,14,0.8336381900261869
75,0.1,rmsprop,15,0.8541607293168704
76,0.1,newton-cg,15,0.8541607293168704
77,0.1,cobyla,15,1.0
78,0.1,nelder-mead,15,0.8541607293168704
79,0.1,rmsprop,16,0.8325416112003672
80,0.1,newton-cg,16,0.8248521840974288
81,0.1,cobyla,16,0.8248521840974288
82,0.1,nelder-mead,16,0.8325416112003672
83,0.1,rmsprop,17,0.9917673652237232
84,0.1,newton-cg,17,0.9917673652237232
85,0.1,cobyla,17,0.9936531827413219
86,0.1,nelder-mead,17,0.9917673652237232
87,0.1,rmsprop,18,0.7153055348692356
88,0.1,newton-cg,18,0.9973836106074829
89,0.1,cobyla,18,1.0
90,0.1,nelder-mead,18,0.7153055348692356
91,0.1,rmsprop,19,0.9989633746091501
92,0.1,newton-cg,19,1.0
93,0.1,cobyla,19,0.8640379198691162
94,0.1,nelder-mead,19,0.9989633746091501
95,0.1,rmsprop,20,0.4224775507288381
96,0.1,newton-cg,20,0.4279536054294053
97,0.1,cobyla,20,1.0
98,0.1,nelder-mead,20,0.4224775507288381
99,0.1,rmsprop,21,0.996832243187239
100,0.1,newton-cg,21,0.996832243187239
101,0.1,cobyla,21,0.4290976385443749
102,0.1,nelder-mead,21,0.996832243187239
103,0.1,rmsprop,22,0.7125967774415805
104,0.1,newton-cg,22,0.5697474445586175
105,0.1,cobyla,22,0.9998360561411136
106,0.1,nelder-mead,22,0.7090034414687612
107,0.1,rmsprop,23,0.49484668859232883
108,0.1,newton-cg,23,1.0
109,0.1,cobyla,23,1.0
110,0.1,nelder-mead,23,0.49484668859232883
111,0.1,rmsprop,24,0.42592513806995813
112,0.1,newton-cg,24,0.716715182233267
113,0.1,cobyla,24,0.8580092400492495
114,0.1,nelder-mead,24,0.42592513806995813
115,0.1,rmsprop,25,0.7210795423442676
116,0.1,newton-cg,25,1.0
117,0.1,cobyla,25,0.8646535481945093
118,0.1,nelder-mead,25,0.7210795423442676
119,0.1,rmsprop,26,1.0
120,0.1,newton-cg,26,0.7044655274825916
121,0.1,cobyla,26,1.0
122,0.1,nelder-mead,26,1.0
123,0.1,rmsprop,27,0.49702491996645237
124,0.1,newton-cg,27,0.8323631559584044
125,0.1,cobyla,27,1.0
126,0.1,nelder-mead,27,0.49702491996645237
127,0.1,rmsprop,28,1.0
128,0.1,newton-cg,28,0.7220539318197428
129,0.1,cobyla,28,1.0
130,0.1,nelder-mead,28,1.0
131,0.1,rmsprop,29,1.0
132,0.1,newton-cg,29,1.0
133,0.1,cobyla,29,1.0
134,0.1,nelder-mead,29,1.0
135,0.1,rmsprop,30,0.7040174110258435
136,0.1,newton-cg,30,0.7040174110258435
137,0.1,cobyla,30,1.0
138,0.1,nelder-mead,30,0.7040174110258435
139,0.1,rmsprop,31,0.8300448969779269
140,0.1,newton-cg,31,1.0
141,0.1,cobyla,31,0.8316637750577569
142,0.1,nelder-mead,31,0.8300448969779269
143,0.1,rmsprop,32,0.8553826298867488
144,0.1,newton-cg,32,1.0
145,0.1,cobyla,32,1.0
146,0.1,nelder-mead,32,0.8553826298867488
147,0.1,rmsprop,33,0.837290902743085
148,0.1,newton-cg,33,0.8398722124396489
149,0.1,cobyla,33,1.0
150,0.1,nelder-mead,33,0.837290902743085
151,0.1,rmsprop,34,0.8246239662043655
152,0.1,newton-cg,34,0.8246239662043655
153,0.1,cobyla,34,0.8346263724051916
154,0.1,nelder-mead,34,0.8246239662043655
155,0.1,rmsprop,35,0.4934632207664454
156,0.1,newton-cg,35,1.0
157,0.1,cobyla,35,1.0
158,0.1,nelder-mead,35,0.4934632207664454
159,0.1,rmsprop,36,0.8447944955947979
160,0.1,newton-cg,36,0.8363594359635851
161,0.1,cobyla,36,0.8439338812222202
162,0.1,nelder-mead,36,0.8447944955947979
163,0.1,rmsprop,37,0.9955979805533058
164,0.1,newton-cg,37,0.8406978083779081
165,0.1,cobyla,37,0.8406978083779081
166,0.1,nelder-mead,37,0.9955979805533058
167,0.1,rmsprop,38,0.41843013638881366
168,0.1,newton-cg,38,0.5717789350924354
169,0.1,cobyla,38,1.0
170,0.1,nelder-mead,38,0.41843013638881366
171,0.1,rmsprop,39,0.8513017404497136
172,0.1,newton-cg,39,0.7106009172135522
173,0.1,cobyla,39,0.4300589174581718
174,0.1,nelder-mead,39,0.8513017404497136
175,0.1,rmsprop,40,0.8516633145209148
176,0.1,newton-cg,40,0.9996696573810295
177,0.1,cobyla,40,1.0
178,0.1,nelder-mead,40,0.8516633145209148
179,0.1,rmsprop,41,0.427999014144857
180,0.1,newton-cg,41,0.8666025158776447
181,0.1,cobyla,41,0.7179157014691662
182,0.1,nelder-mead,41,0.427999014144857
183,0.1,rmsprop,42,0.8538937583841615
184,0.1,newton-cg,42,1.0
185,0.1,cobyla,42,1.0
186,0.1,nelder-mead,42,0.8538937583841615
187,0.1,rmsprop,43,0.7143722584692205
188,0.1,newton-cg,43,1.0
189,0.1,cobyla,43,1.0
190,0.1,nelder-mead,43,0.7143722584692205
191,0.1,rmsprop,44,1.0
192,0.1,newton-cg,44,1.0
193,0.1,cobyla,44,1.0
194,0.1,nelder-mead,44,1.0
195,0.1,rmsprop,45,0.7119319155231972
196,0.1,newton-cg,45,0.7119319155231972
197,0.1,cobyla,45,1.0
198,0.1,nelder-mead,45,0.7119319155231972
199,0.1,rmsprop,46,0.7107453981033331
200,0.1,newton-cg,46,0.570190891179953
201,0.1,cobyla,46,1.0
202,0.1,nelder-mead,46,0.570190891179953
203,0.1,rmsprop,47,0.8597175764102774
204,0.1,newton-cg,47,0.8597175764102774
205,0.1,cobyla,47,1.0
206,0.1,nelder-mead,47,0.8597175764102774
207,0.1,rmsprop,48,0.8557090662479703
208,0.1,newton-cg,48,0.573370986763756
209,0.1,cobyla,48,0.7093637398435011
210,0.1,nelder-mead,48,0.8557090662479703
