,sigma,seed,rqaoa_type,n_steps,n_max,r,optimization_schedule
0,0.1,1,custom,2,2,1.0,"[2, 2, 2, 2, 1]"
1,0.1,1,adaptive,2,2,1.0,"[2, 1, 2, 1, 2, 1]"
2,0.1,2,custom,2,2,1.0,"[2, 2, 2, 2, 1]"
3,0.1,2,adaptive,2,2,0.8525727374868682,"[1, 1, 2, 1, 1, 1, 1, 1]"
4,1.0,1,custom,2,2,0.8035997250761614,"[2, 2, 2, 2, 1]"
5,1.0,1,adaptive,2,2,0.8035997250761614,"[1, 1, 2, 2, 1, 2]"
6,1.0,2,custom,2,2,1.0,"[2, 2, 2, 2, 1]"
7,1.0,2,adaptive,2,2,1.0,"[1, 1, 1, 1, 1, 2, 1, 1]"
8,10.0,1,custom,2,2,1.0,"[2, 2, 2, 2, 1]"
9,10.0,1,adaptive,2,2,0.8349882848183983,"[1, 1, 1, 1, 2, 2, 1]"
10,10.0,2,custom,2,2,0.8125824542353305,"[2, 2, 2, 2, 1]"
11,10.0,2,adaptive,2,2,0.9011019435785836,"[2, 1, 2, 1, 1, 1, 1]"
12,100.0,1,custom,2,2,0.6895634346773258,"[2, 2, 2, 2, 1]"
13,100.0,1,adaptive,2,2,0.7599807761905416,"[1, 2, 2, 2, 1, 1]"
14,100.0,2,custom,2,2,0.9341703531113503,"[2, 2, 2, 2, 1]"
15,100.0,2,adaptive,2,2,1.0,"[1, 1, 1, 1, 1, 1, 2, 1]"
